Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Taygeta,03.45.1249578,24.28022097,4.30,21.24,-40.56,"q Tauri, 19 Tauri, HR 1145, HD 23338, BD+24°547, HIP 17531, SAO 76140, GC 4486, BDS 1848, CCDM 03452+2429",https://en.wikipedia.org/wiki/Taygeta
Flegetonte,11.45.4229278,02.49173262,8.07,-188.735,-113.403,"BD+03°2549, HD 102195, HIP 57370, HR 4293, SAO 119033, LTT 13232, NLTT 28458",https://en.wikipedia.org/wiki/HD_102195
Alkes,10.59.4646516,-18.17556304,4.07,-462.303,128.614,"7 Crt, NLTT 25942, LTT 4040, HD 95272, BD−17°3273, HIP 53740, HR 4287, FK5 1283, SAO 156375",https://en.wikipedia.org/wiki/Alpha_Crateris
Atakoraka,06.44.2760507,-32.51301793,12.29,-19.265,-1.072,"Atakoraka, TOI-473, TIC 52640302, WASP-64, GSC 07091-01514, 2MASS J06442760-3251302",https://en.wikipedia.org/wiki/WASP-64
Absolutno,07.46.519615,39.0540461,12.13,-21.509,-23.910,"Absolutno, TOI-5373, TIC 9155187, GSC 02959-00729, 2MASS J07465196+3905404, UCAC2 45499774",https://en.wikipedia.org/wiki/XO-5
Xihe,18.43.36109,36.332378,6.04,20.946,58.198,"Xihe, AG+36 1680, BD+36 3246, GC 25640, HD 173416, HIP 91852, HR 7043, SAO 67292, PPM 81707, TYC 2649-1153-1, GCRV 11177, GSC 02649-01153, IRAS 18418+3630, 2MASS J18433610+3633237",https://en.wikipedia.org/wiki/HD_173416
Shama,11.24.17359,-01.314467,9.10,-178.689,-159.528,"Shama, BD−00°2437, HD 99109, HIP 55664, SAO 138182",https://en.wikipedia.org/wiki/HD_99109
Alsciaukat,08.22.5011000,43.11172724,4.25,-25.16,-99.23,"Alsciaukat, 31 Lyn, BN Lyn, NSV 4030, BD+43°1815, FK5 314, GC 11401, HD 70272, HIP 41075, HR 3275, SAO 42319",https://en.wikipedia.org/wiki/31_Lyncis
La Superba,12.45.07826,45.262493,4.86,-2.968,13.063,"La Superba, Y Canum Venaticorum, HR 4846, HD 110914, BD+46°1817, FK5 1327, HIP 62223, SAO 44317, GC 17342, 152 Schjellerup",https://en.wikipedia.org/wiki/La_Superba
Taiyi,12.55.28550015,65.26185079,5.225,-4.235,-30.174,"Taiyi, 8 Dra, IR Draconis, BD+66°778, FK5 486, HD 112429, HIP 63076, HR 4916, SAO 15941",https://en.wikipedia.org/wiki/8_Draconis
Celaeno,03.44.482154,24.1722093,5.448,20.73,-44.00,"16 Tauri, HR 1140, HD 23288, BD+23 505, HIP 17489, SAO 76126, GC 4475.",https://en.wikipedia.org/wiki/Celaeno_(star)
Lucilinburhuc,06.28.4571108,38.57466665,7.89,-42.748,-53.736,"Lucilinburhuc, BD+39° 1637, HD 45350, HIP 30860, SAO 591265, PPM 71672, TYC 2927-323-1, GSC 02927-00323",https://en.wikipedia.org/wiki/HD_45350
Diwo,15.59.509492,-28.0342313,11.500,-8.263,-9.427,"Dìwö, CD−27 10695, TOI-1050, TIC 66818296, WASP-17, TYC 6787-1927-1, 2MASS J15595095-2803422, 1SWASP J155950.94−280342.3",https://en.wikipedia.org/wiki/WASP-17
Poerava,23.31.2033819,-58.12350324,7.82,181.160,-5.297,"Poerava, CD−58°8579, HD 221287, HIP 116084, SAO 247912, TYC 8838-463-1, 2MASS J23312032-5812350",https://en.wikipedia.org/wiki/HD_221287
Xuange,14.16.2301880,46.05179005,4.18,-187.33,159.05,"Xuange, λ Boo, 19 Boötis, BD+46°1949, FK5 527, GC 19273, GJ 3837, HD 125162, HIP 69732, HR 5351, SAO 44965",https://en.wikipedia.org/wiki/Lambda_Bo%C3%B6tis
Gloas,09.20.247145,33.5256696,10.42,-2.275,-20.072,"Gloas, BD+34 1976, TOI-1767, TIC 8767448, WASP-13, TYC 2496-1114-1, 2MASS J09202471+3352567, 1SWASP J092024.70+335256.6",https://en.wikipedia.org/wiki/WASP-13
Ainalrami,18.54.1017695,-22.44414247,4.86,4.291,-7.786,"Ainalrami, ν1 Sgr, 32 Sgr, BD−22°4907, HD 174974, HIP 92761, HR 7116, SAO 187426, WDS J18542-2245",https://en.wikipedia.org/wiki/Nu1_Sagittarii
Alkarab,23.25.2278350,23.24147606,4.40,192.19,36.12,"Alkarab, υ Peg, 68 Pegasi, BD+22°4833, FK5 881, GC 32585, HD 220657, HIP 115623, HR 8905, SAO 91253",https://en.wikipedia.org/wiki/Upsilon_Pegasi
Dingolay,11.04.4445485,-02.30475901,8.254,27.824,-17.902,"AG−02°638, BD−01°2476, Gaia DR2 3791263156547622784, GC 15229, HD 96063, HIP 54158, SAO 137979, PPM 178377, TYC 4924-460-1, GSC 04924-00460, 2MASS J11044445-0230475",https://en.wikipedia.org/wiki/HD_96063
Marsic,16.08.0495406,17.03156853,6.25,-19.465,-25.142,"Marsic, κ Her, 7 Herculis, CCDM J16081+1703, NSV 7471, AAVSO 1603+17, WDS 16081+1703",https://en.wikipedia.org/wiki/Kappa_Herculis
Cervantes,17.44.0870314,-51.50025916,5.15,-15.034,-190.901,"Cervantes, μ Arae, CD−51°11094, FK5 662, GC 24024, GJ 691, HD 160691, HIP 86796, HR 6585, SAO 244981, PPM 346258, LTT 7053",https://en.wikipedia.org/wiki/Mu_Arae
Marfik,16.30.5482314,01.59021209,3.82,-30.98,-73.42,"λ Oph, 10 Oph, NSV 7784, BD+02°3118, HD 148857, HIP 80883, HR 6149, SAO 121658, ADS 10087, WDS 16309+0159",https://en.wikipedia.org/wiki/Lambda_Ophiuchi
Anadolu,23.13.587576,08.45405713,12.0,-6.942,-44.330,"Anadolu, Gaia EDR3 2666015878575546496, 2MASS J23135873+0845405",https://en.wikipedia.org/wiki/WASP-52
Mazaalai,11.25.059859,41.0140665,11.46,-1.142,13.523,"Mazalaai, Gaia DR3 770622651659107712, TYC 3013-1229-1, GSC 03013-01229, 2MASS J11250598+4101406",https://en.wikipedia.org/wiki/HAT-P-21
Copernicus,08.52.408627,28.1958821,13.15,-481.176,-244.544,"Copernicus, Rho1 Cancri, 55 Cnc, BD+28°1660, GJ 324, HD 75732, HIP 43587, HR 3522, SAO 80585",https://en.wikipedia.org/wiki/55_Cancri
Liesma,13.34.025394,53.4342698,8.06,-85.849,-78.888,"Liesma, BD+54°1609, HD 118203, HIP 66192, SAO 28802, TOI-1271, TIC 286923464, TYC 3850-458-1",https://en.wikipedia.org/wiki/HD_118203
Intercrus,09.28.3998867,45.36053311,5.39,-7.184,-129.318,"Intercrus, 41 Lyn, BD+46 1509, GC 13051, HD 81688, HIP 46471, HR 3743, SAO 42876, CCDM J09287+4536A",https://en.wikipedia.org/wiki/41_Lyncis
Samaya,21.38.0840401,-31.44149385,8.56,21.833,-82.314,"Samaya, CD−32° 16667, HD 205739, HIP 106824, SAO 213152, PPM 301636",https://en.wikipedia.org/wiki/HD_205739
Zibal,03.15.5002656,-08.49110220,4.80,-0.35,46.10,"Zibal, ζ Eri, 13 Eri, FK5 1091, HD 20320, HIP 15197, HR 984, SAO 130387, BD−09° 624, WDS J03158-0849A",https://en.wikipedia.org/wiki/Zeta_Eridani
Nenque,01.04.4015027,-39.29175842,7.71,-170.033,-527.946,"Nenque, CD–40°239, GJ 9037, HD 6434, HIP 5054, SAO 192911, LFT 102, LHS 1188, LPM 57, LTT 610, GCRV 51158, 2MASS J01044015-3929173",https://en.wikipedia.org/wiki/HD_6434
Phoenicia,20.13.598456,-00.5200770,7.79,-62.730,260.819,"Phoenicia, V1703 Aquilae, BD−01° 3925, HD 192263, HIP 99711, HR 7288, SAO 144192, LTT 8003, NLTT 48902",https://en.wikipedia.org/wiki/HD_192263
Yildun,17.32.1299671,86.35112584,4.36,10.17,53.97,"Yildun, Vildiur, Gildun, δ UMi, 23 Ursae Minoris, BD+86°269, FK5 913, GC 24236, HD 166205, HIP 85822, HR 6789, SAO 2937",https://en.wikipedia.org/wiki/Delta_Ursae_Minoris
Polaris Australis,21.08.4686357,-88.57233983,5.47,26.323,4.721,"Polaris Australis, σ Oct, CPD−89°47, FK5 923, HD 177482, HIP 104382, HR 7228, SAO 258857",https://en.wikipedia.org/wiki/Sigma_Octantis
Menkib,03.58.5790229,35.47277132,4.04,3.62,1.74,"46 Per, HR 1228, HD 24912, FK5 148, SAO 56856, HIP 18614, BD+35°775",https://en.wikipedia.org/wiki/Xi_Persei
Citala,07.00.18036,-05.220178,6.29,-116.513,80.633,"Citalá, BD−05°1910, HD 52265, HIP 33719, HR 2622, SAO 134031",https://en.wikipedia.org/wiki/HD_52265
Alchiba,12.08.2481727,-24.43439521,4.03,96.976,-40.023,"Alchiba, Al Minliar al Ghurab, Al Chiba, 1 Crv, CD−24°10174, GCTP 2796.00, GJ 455.3, GJ 9389, HD 105452, HIP 59199, HR 4623, SAO 180505",https://en.wikipedia.org/wiki/Alpha_Corvi
Axolotl,23.59.5383172,-22.25412163,8.23,147.026,26.865,"Axólotl, CD−23°18108, HD 224693, HIP 118319, SAO 192301",https://en.wikipedia.org/wiki/HD_224693
Castula,00.56.3990413,59.10518006,4.62,-92.085,-45.079,"Castula, υ2 Cas, 28 Cassiopeiae, BD+58°138, HD 5395, HIP 4422, HR 265, SAO 21855",https://en.wikipedia.org/wiki/Upsilon2_Cassiopeiae
Syrma,14.16.00868,-06.000197,4.08,-26.606,-414.866,"Syrma, 99 Vir, BD−05°3843, FK5 525, GJ 9473, HD 124850, HIP 69701, HR 5338, SAO 139824",https://en.wikipedia.org/wiki/Iota_Virginis
Kamuy,16.10.0391440,26.44338932,6.57,-18.354,36.856,"BD+27°2595, HD 145457, HIP 79219, SAO 84223",https://en.wikipedia.org/wiki/HD_145457
Itonda,21.57.1984754,-37.45490480,7.47,101.032,-118.842,"Itonda, CD−38° 14804, HD 208487, HIP 108375, SAO 213432, PPM 302029",https://en.wikipedia.org/wiki/HD_208487
Nervia,06.51.3051621,40.52039241,8.10,34.682,-122.686,"Nervia, BD+41° 1544, HD 49674, HIP 32916, SAO 41390, PPM 49392, TYC 2946-426-1, GSC 02946-00426",https://en.wikipedia.org/wiki/HD_49674
Kaveh,18.55.4088415,04.15551651,8.02,-6.842,-90.413,"Kaveh, BD+04°3911, GJ 736, HD 175541, HIP 92895, SAO 124054",https://en.wikipedia.org/wiki/HD_175541
Wurren,01.08.2308,-55.14447,3.9,20.87,30.64,"Wurren, HR 338, CD–55° 267, CPD–55° 241, HD 6882, SAO 232306, HIP 5348.",https://en.wikipedia.org/wiki/Zeta_Phoenicis
Parumleo,00.15.5080778,01.12015868,11.26,1.896,16.589,"Parumleo, Gaia DR2 2546413408888429696, TYC 2-1155-1, 2MASS J00155080+0112016",https://en.wikipedia.org/wiki/WASP-32
Jishui,07.39.0993466,34.35035028,4.90,-37.975,-105.132,"Jishui, ο Gem, 71 Geminorum, BD+34°1649, FK5 2592, HD 61110, HIP 37265, HR 2930, SAO 60247",https://en.wikipedia.org/wiki/Omicron_Geminorum
Merga,14.49.1867062,46.06583369,5.76,-6.404,-78.073,"Merga, Marrha, El Mara el Musalsela, Falx Italica, h Boötis, 38 Boo, BD+46°1993, FK5 1383, GC 19959, HD 130945, HIP 72487, HR 5533, SAO 45226",https://en.wikipedia.org/wiki/38_Bo%C3%B6tis
Beid,04.11.5193956,-06.50152864,4.04,10.76,81.92,"Beid, ο1 Eri, 38 Eri, BD−07°764, FK5 154, HD 26574, HIP 19587, HR 1298, SAO 131019",https://en.wikipedia.org/wiki/Omicron1_Eridani
Dofida,13.32.2555543,-47.16169091,7.17,24.87,-125.01,"Dofida, CD−46° 8708, GC 18290, HD 117618, HIP 66047, SAO 224228",https://en.wikipedia.org/wiki/HD_117618
Lich,13.00.031075,12.4055155,,46.44,-84.87,"Lich, PSR 1257+12, PSR J1300+1240, PSR 1300+1240",https://en.wikipedia.org/wiki/PSR_B1257%2B12
Musica,20.58.2593353,10.50214309,5.506,-49.921,-34.509,"Musica, 18 Del, BD+10°4425, GC 29266, HD 199665, HIP 103527, HR 8030, SAO 106712, WDS J20584+1050A",https://en.wikipedia.org/wiki/18_Delphini
Muliphein,07.03.4549305,-15.37598300,4.10,-0.14,-11.36,"Muliphein, Muliphen, 23 Canis Majoris, BD−15°1625, FK5 271, HD 53244, HR 2657, HIP 34045, SAO 152303",https://en.wikipedia.org/wiki/Gamma_Canis_Majoris
Solaris,21.13.3599016,14.41217858,9.78,233.909,-0.360,"Solaris, AG+14 2370, BD+14 4559, HIP 104780, PPM 139779, LTT 16221",https://en.wikipedia.org/wiki/BD%2B14_4559
Bosona,21.43.24900,-07.242971,8.34,2.184,1.781,"BD−08°5719, Gaia DR2 2667434008056899712, HD 206610, HIP 107251, SAO 145619, TIC 333314269, TYC 5221-00210-1, 2MASS J21432490-0724296, WISE J214324.89-072429.7",https://en.wikipedia.org/wiki/HD_206610
Gudja,15.48.4437720,18.08296337,4.09,-52.407,-88.419,"Gudja, κ Ser, 35 Ser, NSV 7269, BD+18 3074, FK5 584, HD 141477, HIP 77450, HR 5879, SAO 101752",https://en.wikipedia.org/wiki/Kappa_Serpentis
Ayeyarwady,03.00.1065643,-20.48093773,7.81,-19.599,-22.666,"BD−21° 533, CPD−21° 295, Gaia DR1 5079636964618154112, Gaia DR2 5079636934554540160, HD 18742, HIP 13993, SAO 168212, PPM 245676, TIC 71345433, TYC 5870-602-1, GSC 05870-00602, 2MASS J03001065-2048091",https://en.wikipedia.org/wiki/HD_18742
Chalawan,10.59.279728,40.2548921,5.03,-316.850,55.180,"Chalawan, BD+41°2147, FK5 1282, GC 15087, GCTP 2556.00, Gliese 407, HD 95128, HIP 53721, HR 4277, LTT 12934, SAO 43557",https://en.wikipedia.org/wiki/47_Ursae_Majoris
Chaophraya,02.54.451342,-10.5353025,11.44,3.383,8.913,"Chaophraya, TOI-391, TIC 382391899, WASP-50, TYC 5290-462-1, GSC 05290-00462, 2MASS J02544513-1053530",https://en.wikipedia.org/wiki/WASP-50
Aladfar,19.13.4548832,39.08454801,4.43,-0.60,-1.26,"Eta Lyr or η Lyr, 20 Lyr, BD+38°3490, HD 180163, HIP 94481, HR 7298, SAO 68010, WDS 19138+3909",https://en.wikipedia.org/wiki/Eta_Lyrae
Felis,09.54.522045,-19.0033620,4.94,-45.386,-40.456,"Felis, 183 G. Hydrae, BD−18° 2810, FK5 373, GC 13644, HIP 48615, HR 3923, SAO 155588",https://en.wikipedia.org/wiki/HD_85951
Kang,14.12.5374538,-10.16253340,4.180,7.25,139.88,"Kang, 98 Virginis, κ Vir, BD−09°3878, FK5 523, HD 124294, HIP 69427, HR 5315, SAO 158427",https://en.wikipedia.org/wiki/Kappa_Virginis
Timir,16.28.28151,-13.235869,6.903,-37.413,3.049,"BD−13°4437, HIP 80687, PPM 231736, SAO 159932",https://en.wikipedia.org/wiki/HD_148427
Uruk,19.32.0416092,16.28274431,8.97,63.452,15.508,"Uruk, BD+16°3883, HD 231701, HIP 96078, SAO 104946",https://en.wikipedia.org/wiki/HD_231701
Minchir,08.38.4543747,03.20291701,4.48,-19.48,-15.92,"σ Hya, 5 Hydrae, BD+03°2026, FK5 1224, HD 73471, HIP 42402, HR 3418, SAO 116988",https://en.wikipedia.org/wiki/Sigma_Hydrae
Marohu,23.12.3773683,-22.40262738,11.9,-23.264,-37.143,"Márohu, TOI-231, TIC 204376737, WASP-6, TYC 6972-75-1, 2MASS J23123773-2240261, DENIS J231237.7-224025, UCAC2 22823425",https://en.wikipedia.org/wiki/WASP-6
Hunor,16.20.363576,41.0253107,8.71,-10.078,-29.057,"HAT-P-2, BD+41°2693, HD 147506, HIP 80076, SAO 46035",https://en.wikipedia.org/wiki/HD_147506
Tangra,23.09.5825,18.23459,11.58,17.597,18.867,"Tangra, GSC 01715-00679, 2MASS J23095825+1823459, Gaia DR2 2831084391023184128",https://en.wikipedia.org/wiki/WASP-21
Asterope,03.45.5447676,24.33162418,5.76,20.025,-45.949,"Asterope, Sterope I, 21 Tau, BD+24°553, GC 4502, HD 23432, HIP 17579, HR 1151, SAO 76159",https://en.wikipedia.org/wiki/21_Tauri
Monch,14.47.327262,-00.1653308,8.04,-130.476,-140.246,"Mönch, BD+00 3243, HD 130322, HIP 72339, LTT 5873, NLTT 38386",https://en.wikipedia.org/wiki/HD_130322
Tapecue,07.47.49720,-54.155092,8.10,148.628,-278.753,"Tapecue, CD−53°2007, HD 63765, HIP 38041, SAO 235521, PPM 336398, LTT 2952, NLTT 18486",https://en.wikipedia.org/wiki/HD_63765
Nahn,09.09.2153325,22.02436053,5.15,-1.00,-0.52,"Nahn, ξ Cnc, 77 Cancri, BD+22° 2061, FK5 1239, HD 78515, HIP 44946, HR 3627, SAO 80666",https://en.wikipedia.org/wiki/Xi_Cancri
Koit,07.21.331602,58.1605110,10.674,-17.008,5.463,"Koit, TOI-1721, TIC 51234631, TYC 3793-1994-1, GSC 03793-01994, 2MASS J07213317+5816051",https://en.wikipedia.org/wiki/XO-4
Irena,16.15.5036526,10.01572844,9.447,-31.073,-39.171,"BD+10°2980, Gaia DR2 4453211899986180352, HD 146389, SAO 102042, 2MASS J16155036+1001572, WASP 38",https://en.wikipedia.org/wiki/HD_146389
Maasym,17.30.443098,26.0638324,4.41,18.782,16.184,"λ Her, 76 Herculis, BD+26°3034, FK5 1460, HD 158899, HIP 85693, HR 6526, SAO 249461",https://en.wikipedia.org/wiki/Lambda_Herculis
Chason,18.17.373127,36.3717170,11.95,11.925,5.904,"Chasoň, TOI-2135, TIC 76419763, TYC 2634-1087-1, GSC 02634-01087, 2MASS J18173731+3637170, HAT-P-5",https://en.wikipedia.org/wiki/HAT-P-5
Emiw,01.10.4722139,-66.11173901,8.06,110.513,-123.283,"Emiw, CD−66°60, Gaia DR2 4704957491028733824, HD 7199, HIP 5529, SAO 248334, 2MASS J01104719-6611171",https://en.wikipedia.org/wiki/HD_7199
Naledi,05.48.3359333,-63.59183884,10.21,-15.439,26.151,"Naledi, CPD−64 484, TOI-102, TIC 149603524, WASP-62, TYC 8900-874-1, GSC 08900-00874, 2MASS J05483359-6359183",https://en.wikipedia.org/wiki/WASP-62
Stribor,08.53.5080524,33.03245206,8.03,-95.110,-28.503,"Stribor, BD+33°1776, HD 75898, HIP 43674, SAO 61116",https://en.wikipedia.org/wiki/HD_75898
Morava,23.46.399747,31.09213721,12.18,30.262,-5.852,"Morava, Gaia DR2 2868528637464028160, TYC 2767-1746-1, 2MASS J23463997+3109213",https://en.wikipedia.org/wiki/WASP-60
Veritate,23.31.1741325,39.14103147,5.22,286.898,-84.043,"Veritate, 14 And, NSV 14599, BD+38°5023, GC 32703, HD 221345, HIP 116076, HR 8930, SAO 73311, PPM 88889, 2MASS J23311742+3914102",https://en.wikipedia.org/wiki/14_Andromedae
Baekdu,14.56.4835230,74.54033212,6.835,13.139,3.578,"Baekdu, HD 133086, HIP 73136, BD+75 547, 2MASS J14564834+7454032, WDS J14568+7454A, Gaia DR3 1700658653802527104",https://en.wikipedia.org/wiki/8_Ursae_Minoris
Karaka,15.35.39921,-80.121654,8.70,-49.570,41.135,"Karaka, NSV 7116, CPD–79°844, Gaia DR2 5778418870846853888, HD 137388, HIP 76351, 2MASS J15353994-8012164",https://en.wikipedia.org/wiki/HD_137388
Ancha,22.16.50037,-07.465984,4.175,118.929,-21.928,"Ancha, θ Aquarii, Tet Aqr, θ Aqr, 43 Aquarii, BD–08 5845, FK5 840, HD 211391, HIP 110003, HR 8499, SAO 145991",https://en.wikipedia.org/wiki/Theta_Aquarii
Formosa,11.35.0375320,20.26295630,6.45,-59.897,-0.996,"Formosa, BD+21°2331, HD 100655, HIP 56508, HR 4459, SAO 81886, 2MASS J11350375+2026295",https://en.wikipedia.org/wiki/HD_100655
Arcalis,14.53.23028,18.140747,7.96,43.739,-33.865,"Arcalís, BD+18°2957, HD 131496, HIP 72845, SAO 101274",https://en.wikipedia.org/wiki/HD_131496
Ebla,23.09.1072701,-02.15386854,8.628,631.520,-97.214,"Ebla, BD−03°5577, HD 218566, HIP 114322, SAO 146533",https://en.wikipedia.org/wiki/HD_218566
Bibha,09.56.0591853,-03.48303233,8.73,-67.001,15.999,"Bibhā, BD−03 2815, HD 86081, HIP 48711, SAO 137236",https://en.wikipedia.org/wiki/HD_86081
Gakyid,08.39.15803,12.573735,8.23,-114.147,-93.787,"Gakyid, BD+13°1956, HD 73534, HIP 42446, SAO 98004, PPM 125542",https://en.wikipedia.org/wiki/HD_73534
Adhil,01.22.2042008,45.31435962,4.90,31.681,9.024,"Adhil, ξ Andromedae, Xi And, ξ And, 46 Andromedae, BD+44 287, FK5 1035, HD 8207, HIP 6411, HR 390, SAO 37155, PPM 43919",https://en.wikipedia.org/wiki/Xi_Andromedae
Lilii Borea,02.47.5454142,29.14496132,4.514,149.47,-127.05,"Lilii Borea, BD+28°462, HD 17361, HIP 13061, HR 824, SAO 75578.",https://en.wikipedia.org/wiki/39_Arietis
